frame nummer,x=,y=,time=
8,84,691,0.8681509494781494
10,84,691,0.9876720905303956
11,84,691,1.0476832389831543
12,84,691,1.1066925525665283
15,84,691,1.28672456741333
16,84,691,1.3462347984313965
17,84,691,1.405745506286621
18,84,691,1.464755296707153
19,84,691,1.5237665176391602
20,84,691,1.5832757949829102
21,84,691,1.6427855491638184
23,84,691,1.7648067474365234
24,84,691,1.8243176937103271
25,84,691,1.883328199386597
26,84,691,1.9438376426696775
27,75,691,2.0053491592407227
28,75,691,2.066859483718872
30,84,691,2.184879779815674
31,84,691,2.244390726089477
32,84,691,2.302900075912476
42,84,691,2.8900034427642822
44,84,691,3.006022930145264
45,84,691,3.0645339488983154
46,84,691,3.1225430965423584
48,84,691,3.2375638484954834
49,84,691,3.2935736179351807
50,84,691,3.350083351135254
51,84,691,3.40509295463562
52,84,691,3.4616029262542725
53,84,691,3.519113063812256
54,75,691,3.575622797012329
55,1569,624,3.632631778717041
55,75,691,3.635133028030396
56,1569,649,3.691642999649048
56,75,691,3.6941440105438232
57,1569,649,3.747152805328369
57,75,691,3.7506532669067374
58,1569,658,3.803162097930908
58,75,691,3.806162834167481
59,1569,658,3.8591716289520255
59,75,691,3.861172199249268
60,1560,649,3.909680604934693
60,75,691,3.9116809368133545
61,1560,649,3.9601891040802
61,75,691,3.961688995361328
62,1569,649,4.010698556900024
62,75,691,4.012198209762573
63,1569,658,4.061706781387329
63,1459,658,4.062207460403442
63,75,691,4.063207387924194
64,793,615,4.111715793609619
64,1569,658,4.11271595954895
64,1459,658,4.11271595954895
64,75,691,4.1142168045043945
65,1569,658,4.163224220275879
65,1459,658,4.163224220275879
65,75,691,4.164225101470947
66,1569,658,4.213233709335327
66,1459,658,4.213233709335327
66,75,691,4.214733839035034
67,1569,649,4.262743234634399
67,1459,658,4.262743234634399
68,1569,649,4.31325101852417
68,1459,658,4.31325101852417
69,1569,649,4.363259553909302
69,1459,658,4.363259553909302
70,1560,649,4.412769079208374
70,1459,649,4.412769079208374
71,1569,624,4.462777137756348
71,1468,649,4.462777137756348
72,1569,624,4.513285875320435
72,1468,649,4.513285875320435
73,1569,615,4.56279444694519
73,1569,615,4.56279444694519
73,1468,624,4.56279444694519
74,1569,615,4.611303091049194
74,1468,624,4.611303091049194
75,1569,615,4.660811424255371
75,1468,624,4.660811424255371
76,1569,615,4.710320472717285
76,1501,615,4.710320472717285
76,1468,624,4.710320472717285
77,1569,615,4.759328842163086
77,1468,615,4.759328842163086
78,1468,615,4.809337615966797
79,1468,615,4.859346151351929
82,1569,615,5.028875589370728
82,1569,615,5.028875589370728
83,1560,615,5.085885763168335
83,84,691,5.086885690689087
84,1569,615,5.143394708633423
84,84,691,5.14489483833313
85,1569,615,5.200405597686768
85,84,691,5.201905965805054
86,84,691,5.257915496826172
101,118,691,6.03705096244812
101,42,691,6.03705096244812
102,118,691,6.088059902191162
102,42,717,6.088059902191162
103,118,717,6.139068841934204
103,42,717,6.139068841934204
104,118,717,6.190078020095825
104,42,717,6.190078020095825
105,118,717,6.243086576461792
105,42,717,6.243086576461792
106,118,717,6.295095920562744
106,42,717,6.295095920562744
107,118,691,6.349104642868042
107,42,717,6.349104642868042
108,118,691,6.402114868164063
108,42,691,6.402114868164063
109,118,691,6.450623273849487
109,42,691,6.450623273849487
110,118,691,6.497131109237671
110,42,691,6.497131109237671
111,118,691,6.544639587402344
111,42,691,6.544639587402344
112,118,691,6.5936479568481445
112,42,691,6.5936479568481445
113,118,691,6.641655206680298
113,42,691,6.641655206680298
114,118,691,6.689664840698242
114,42,717,6.689664840698242
115,118,691,6.738173484802246
115,42,717,6.738173484802246
116,118,691,6.786181926727295
116,42,717,6.786181926727295
117,143,717,6.836189270019531
117,42,717,6.836189270019531
118,118,717,6.884698152542114
118,42,717,6.884698152542114
119,118,691,6.932206869125366
119,42,717,6.932206869125366
120,118,691,6.980214595794678
120,42,691,6.980214595794678
121,118,691,7.028223514556885
121,42,691,7.028223514556885
122,118,691,7.078732013702393
122,42,691,7.078732013702393
123,143,691,7.126240015029907
123,42,691,7.126240015029907
124,118,691,7.175748825073242
124,42,691,7.175748825073242
125,118,691,7.224257469177246
125,42,691,7.224257469177246
126,118,691,7.274266481399536
126,42,691,7.274266481399536
127,118,691,7.32427453994751
127,42,691,7.32427453994751
128,118,691,7.374783277511597
128,42,717,7.374783277511597
129,118,691,7.425292015075684
129,42,717,7.425292015075684
130,118,691,7.482302188873291
130,42,717,7.482302188873291
131,143,717,7.538311958312988
131,42,717,7.538311958312988
132,143,717,7.59032130241394
132,42,725,7.59032130241394
133,143,717,7.647830247879028
133,42,717,7.647830247879028
134,143,717,7.702840805053711
134,42,717,7.702840805053711
135,143,717,7.75985050201416
135,42,717,7.75985050201416
136,42,717,7.817360639572143
137,42,717,7.872869729995727
138,118,691,7.928880214691162
138,42,717,7.928880214691162
139,42,691,7.987390756607056
140,42,691,8.044400453567505
141,75,523,8.101410388946533
141,75,455,8.101410388946533
141,42,691,8.101410388946533
141,50,447,8.101410388946533
141,84,447,8.101410388946533
141,42,447,8.101410388946533
141,109,447,8.101410388946533
142,75,523,8.159921169281006
142,75,455,8.159921169281006
142,42,717,8.159921169281006
142,50,447,8.159921169281006
142,84,447,8.159921169281006
142,42,455,8.159921169281006
142,109,447,8.159921169281006
143,75,523,8.217429399490356
143,75,455,8.217429399490356
143,42,717,8.217930316925049
143,50,447,8.217930316925049
143,84,447,8.217930316925049
143,42,455,8.217930316925049
143,109,447,8.217930316925049
144,75,523,8.273440599441528
144,75,455,8.273440599441528
144,42,691,8.273440599441528
144,75,447,8.273440599441528
144,84,447,8.273440599441528
144,42,455,8.273440599441528
144,109,447,8.273440599441528
145,75,523,8.330950260162354
145,84,455,8.330950260162354
145,143,523,8.330950260162354
145,75,624,8.330950260162354
145,143,691,8.330950260162354
145,50,717,8.330950260162354
145,75,447,8.330950260162354
145,84,447,8.330950260162354
145,42,455,8.330950260162354
145,109,447,8.330950260162354
146,84,523,8.392961025238037
146,84,455,8.392961025238037
146,143,523,8.392961025238037
146,151,624,8.392961025238037
146,143,691,8.392961025238037
146,50,717,8.392961025238037
146,75,447,8.392961025238037
146,84,447,8.392961025238037
146,50,455,8.392961025238037
146,118,447,8.392961025238037
147,84,548,8.460472822189331
147,84,455,8.460472822189331
147,143,523,8.460472822189331
147,151,649,8.460472822189331
147,75,615,8.460472822189331
147,143,717,8.460472822189331
147,42,548,8.460472822189331
147,42,624,8.460472822189331
147,109,590,8.460472822189331
147,50,717,8.460472822189331
147,75,447,8.460472822189331
147,109,447,8.460472822189331
147,50,455,8.460472822189331
