frame nummer,x1=,y1=,x2=,y2=,time=
99,760,184,989,611,10.328269481658936
99,1413,249,1668,606,10.328269481658936
100,869,152,1631,1067,10.405441999435425
100,89,321,852,1067,10.405441999435425
100,0,391,154,686,10.405441999435425
100,757,183,975,612,10.405441999435425
100,1408,249,1658,606,10.405441999435425
101,880,152,1632,1068,10.482261419296265
101,113,321,840,1067,10.482261419296265
101,0,392,155,687,10.482261419296265
101,763,183,991,612,10.482261419296265
101,1406,249,1653,607,10.482261419296265
102,895,155,1632,1068,10.559057474136353
102,143,324,831,1068,10.559057474136353
102,0,394,158,689,10.559057474136353
102,761,186,996,614,10.559057474136353
102,1408,251,1662,607,10.559057474136353
103,912,158,1631,1067,10.636815786361694
103,174,327,822,1068,10.636815786361694
103,0,394,160,689,10.636815786361694
103,766,187,995,614,10.636815786361694
103,1412,252,1657,607,10.636815786361694
104,187,326,812,1067,10.713136196136475
104,931,158,1634,1068,10.713136196136475
104,0,394,161,689,10.713136196136475
104,757,187,1002,614,10.713136196136475
104,1417,252,1653,607,10.713136196136475
105,950,160,1637,1068,10.790594339370728
105,187,328,805,1068,10.790594339370728
105,0,394,163,688,10.790594339370728
105,766,187,1009,614,10.790594339370728
105,1426,251,1663,607,10.790594339370728
106,970,159,1638,1068,10.867280960083008
106,186,328,802,1069,10.867280960083008
106,0,395,163,688,10.867280960083008
106,762,187,982,614,10.867280960083008
106,1433,251,1644,606,10.867280960083008
107,991,159,1636,1068,10.943274736404419
107,191,328,799,1069,10.943274736404419
107,0,395,164,688,10.943274736404419
107,762,186,1007,614,10.943274736404419
107,1441,250,1650,606,10.943274736404419
107,1067,252,1244,613,10.943274736404419
108,195,327,797,1068,11.020771980285645
108,1014,159,1633,1067,11.020771980285645
108,0,394,163,688,11.020771980285645
108,762,186,1011,614,11.020771980285645
108,1449,250,1646,608,11.020771980285645
108,1066,252,1250,612,11.020771980285645
109,1043,159,1630,1067,11.098145246505737
109,201,325,796,1067,11.098145246505737
109,0,393,163,688,11.098145246505737
109,760,186,1011,613,11.098645210266113
109,1460,250,1664,603,11.098645210266113
109,1068,250,1256,611,11.098645210266113
110,1071,158,1627,1066,11.175680875778198
110,205,326,797,1067,11.176180839538574
110,0,393,164,688,11.176180839538574
110,1461,250,1661,604,11.176180839538574
110,760,186,1007,613,11.176180839538574
110,1068,250,1258,610,11.176180839538574
111,213,327,795,1067,11.257694721221924
111,1101,158,1622,1066,11.257694721221924
111,0,394,164,689,11.257694721221924
111,1068,251,1260,611,11.257694721221924
111,1463,250,1637,603,11.257694721221924
