frame nummer,x=,y=,time=,cpu=,mem=
1,250,845,0.179002046585083,,
1,542,845,0.179002046585083,,
1,793,821,0.179002046585083,,
1,542,845,0.179002046585083,,
1,1293,399,0.179002046585083,,
1,542,845,0.179002046585083,,
1,1252,352,0.179002046585083,,
1,1293,399,0.179002046585083,,
1,1168,399,0.179002046585083,,
1,1252,352,0.179002046585083,,
1,584,516,0.179002046585083,,
1,1293,399,0.179002046585083,,
1,1419,399,0.179002046585083,,
1,584,516,0.179002046585083,,
2,250,845,0.33452916145324707,,
2,1293,727,0.33452916145324707,,
2,793,821,0.33452916145324707,,
2,1293,727,0.33452916145324707,,
2,1293,399,0.33452916145324707,,
2,1293,727,0.33452916145324707,,
2,1252,352,0.33503079414367676,,
2,1293,399,0.33503079414367676,,
2,1168,399,0.33503079414367676,,
2,1252,352,0.33503079414367676,,
2,1377,352,0.33503079414367676,,
2,1293,399,0.33503079414367676,,
2,1419,399,0.33503079414367676,,
2,1377,352,0.33503079414367676,,
3,1001,727,0.4800589084625244,,
3,1293,727,0.4800589084625244,,
3,793,821,0.4800589084625244,,
3,1293,727,0.4800589084625244,,
3,1293,399,0.4805574417114258,,
3,1293,727,0.4805574417114258,,
3,1252,352,0.4805574417114258,,
3,1293,399,0.4805574417114258,,
3,1168,399,0.4805574417114258,,
3,1252,352,0.4805574417114258,,
3,1377,352,0.4805574417114258,,
3,1293,399,0.4805574417114258,,
3,1419,399,0.4805574417114258,,
3,1377,352,0.4805574417114258,,
4,1001,727,0.6050784587860107,,
4,1293,727,0.6050784587860107,,
4,793,821,0.6050784587860107,,
4,1293,727,0.6050784587860107,,
4,1293,399,0.6050784587860107,,
4,1293,727,0.6050784587860107,,
4,1252,352,0.6050784587860107,,
4,1293,399,0.6050784587860107,,
4,1168,399,0.6050784587860107,,
4,1252,352,0.6050784587860107,,
4,1377,352,0.6050784587860107,,
4,1293,399,0.6050784587860107,,
4,1419,399,0.6050784587860107,,
4,1377,352,0.6050784587860107,,
5,250,845,0.7306003570556641,,
5,1293,727,0.7306003570556641,,
5,793,821,0.7306003570556641,,
5,1293,727,0.7306003570556641,,
5,1293,399,0.7306003570556641,,
5,1293,727,0.7306003570556641,,
5,1252,352,0.7306003570556641,,
5,1293,399,0.7306003570556641,,
5,1168,399,0.7311007976531982,,
5,1252,352,0.7311007976531982,,
5,584,516,0.7311007976531982,,
5,1293,399,0.7311007976531982,,
5,1419,399,0.7311007976531982,,
5,584,516,0.7311007976531982,,
6,250,845,0.8586225509643555,,
6,1293,727,0.8586225509643555,,
6,793,821,0.8586225509643555,,
6,1293,727,0.8586225509643555,,
6,1293,399,0.8586225509643555,,
6,1293,727,0.8586225509643555,,
6,1252,352,0.8586225509643555,,
6,1293,399,0.8586225509643555,,
6,1168,399,0.8586225509643555,,
6,1252,352,0.8586225509643555,,
6,584,516,0.859123706817627,,
6,1293,399,0.859123706817627,,
6,1419,399,0.859123706817627,,
6,584,516,0.859123706817627,,
7,1043,727,0.986644983291626,,
7,1293,727,0.986644983291626,,
7,793,821,0.986644983291626,,
7,1293,727,0.986644983291626,,
7,292,563,0.986644983291626,,
7,1043,727,0.986644983291626,,
7,1293,399,0.986644983291626,,
7,1293,727,0.986644983291626,,
7,1210,352,0.986644983291626,,
7,1293,399,0.986644983291626,,
7,1168,399,0.986644983291626,,
7,1210,352,0.986644983291626,,
7,584,516,0.987144947052002,,
7,1293,399,0.987144947052002,,
7,1419,399,0.987144947052002,,
7,584,516,0.987144947052002,,
8,292,493,1.1131675243377686,,
8,1293,727,1.1131675243377686,,
8,793,821,1.1131675243377686,,
8,1293,727,1.1131675243377686,,
8,292,563,1.1131675243377686,,
8,292,493,1.1131675243377686,,
8,1293,399,1.1131675243377686,,
8,1293,727,1.1131675243377686,,
8,1210,352,1.1131675243377686,,
8,1293,399,1.1131675243377686,,
8,1168,422,1.1131675243377686,,
8,1210,352,1.1131675243377686,,
8,584,516,1.1136677265167236,,
8,1293,399,1.1136677265167236,,
8,1419,399,1.1136677265167236,,
8,584,516,1.1136677265167236,,
9,250,845,1.2386910915374756,,
9,1293,727,1.2386910915374756,,
9,793,821,1.2386910915374756,,
9,1293,727,1.2386910915374756,,
9,1293,399,1.239189624786377,,
9,1293,727,1.239189624786377,,
9,1210,352,1.239189624786377,,
9,1293,399,1.239189624786377,,
9,1168,422,1.239189624786377,,
9,1210,352,1.239189624786377,,
9,584,516,1.239189624786377,,
9,1293,399,1.239189624786377,,
9,1419,399,1.239189624786377,,
9,584,516,1.239189624786377,,
10,1001,727,1.365710973739624,,
10,1293,727,1.365710973739624,,
10,793,821,1.3662114143371582,,
10,1293,727,1.3662114143371582,,
10,1293,399,1.3662114143371582,,
