frame nummer,x1=,y1=,x2=,y2=,time=
15,97,318,890,1069,3.8097751140594482
15,0,386,141,682,3.8097751140594482
15,263,389,431,685,3.8097751140594482
15,1415,259,1667,617,3.8097751140594482
15,750,186,992,617,3.8097751140594482
16,849,123,1759,1067,3.8886055946350098
16,96,315,888,1069,3.8886055946350098
16,262,388,430,685,3.8886055946350098
16,0,385,140,682,3.8886055946350098
16,1415,258,1685,617,3.8886055946350098
16,749,185,977,616,3.8886055946350098
17,850,124,1759,1067,3.9642443656921387
17,96,317,888,1069,3.9642443656921387
17,0,386,140,683,3.9642443656921387
17,262,389,431,684,3.9642443656921387
17,1415,260,1681,617,3.9642443656921387
17,750,186,995,616,3.9642443656921387
18,850,124,1759,1067,4.041260480880737
18,97,317,889,1069,4.041260480880737
18,261,389,431,684,4.041260480880737
18,0,386,140,683,4.041260480880737
18,1415,260,1671,616,4.041260480880737
18,750,186,999,618,4.041260480880737
19,850,123,1758,1067,4.118194103240967
19,96,317,889,1069,4.118194103240967
19,0,386,140,682,4.118194103240967
19,261,389,431,684,4.118194103240967
19,1415,259,1682,617,4.118194103240967
19,750,186,1000,617,4.118194103240967
20,851,124,1757,1067,4.196807622909546
20,96,318,889,1069,4.196807622909546
20,261,390,431,684,4.196807622909546
20,0,386,140,683,4.196807622909546
20,1415,261,1678,617,4.196807622909546
20,750,186,997,617,4.196807622909546
21,851,125,1757,1067,4.27491569519043
21,96,318,889,1069,4.27491569519043
21,260,389,431,684,4.27491569519043
21,0,386,139,683,4.27491569519043
21,1415,260,1680,617,4.27491569519043
21,750,186,996,617,4.27491569519043
22,851,124,1756,1067,4.352890491485596
22,96,316,889,1069,4.352890491485596
22,260,389,430,683,4.352890491485596
22,0,385,139,682,4.352890491485596
22,1414,260,1677,617,4.352890491485596
22,749,186,998,617,4.352890491485596
23,851,125,1754,1068,4.429249048233032
23,96,317,888,1069,4.429249048233032
23,259,389,430,683,4.429249048233032
23,0,386,139,682,4.429249048233032
23,1414,260,1662,616,4.429249048233032
23,748,186,989,616,4.429249048233032
24,850,125,1753,1068,4.507365465164185
24,96,318,888,1069,4.507365465164185
24,259,389,429,684,4.507365465164185
24,0,386,138,683,4.507365465164185
24,1414,261,1646,617,4.507365465164185
24,747,186,991,617,4.507365465164185
25,850,125,1751,1068,4.582354307174683
25,95,318,887,1069,4.582354307174683
25,258,389,429,684,4.582354307174683
25,0,386,138,683,4.582354307174683
25,1413,261,1639,617,4.582354307174683
25,745,186,990,616,4.582354307174683
26,849,126,1750,1068,4.659996032714844
26,95,318,887,1069,4.659996032714844
26,257,389,429,684,4.659996032714844
26,0,386,137,683,4.659996032714844
26,1412,261,1660,617,4.659996032714844
26,744,186,995,617,4.659996032714844
27,849,125,1749,1068,4.736876010894775
27,95,317,887,1070,4.736876010894775
27,257,388,428,683,4.736876010894775
27,0,385,137,682,4.736876010894775
27,1412,259,1645,617,4.736876010894775
27,741,185,987,616,4.736876010894775
28,848,126,1747,1068,4.815194368362427
28,95,318,887,1070,4.815194368362427
28,257,389,428,684,4.815194368362427
28,0,386,136,683,4.815194368362427
28,1411,259,1648,617,4.815194368362427
28,742,186,989,618,4.815194368362427
29,848,127,1746,1068,4.907419443130493
29,94,318,886,1070,4.907419443130493
29,257,389,428,684,4.907419443130493
29,0,386,136,683,4.907419443130493
29,1411,259,1660,617,4.907419443130493
29,741,186,988,618,4.907419443130493
30,848,126,1744,1068,4.989941358566284
30,93,317,886,1069,4.989941358566284
30,257,389,425,685,4.989941358566284
30,0,386,135,683,4.989941358566284
30,1411,259,1666,617,4.989941358566284
30,742,186,991,617,4.989941358566284
31,848,124,1743,1068,5.0624706745147705
31,92,315,885,1070,5.0624706745147705
31,0,385,135,682,5.0624706745147705
31,257,388,425,684,5.0624706745147705
31,1411,258,1668,616,5.0624706745147705
31,742,185,983,616,5.0624706745147705
32,847,123,1743,1068,5.139341115951538
32,89,315,884,1069,5.139341115951538
32,0,383,135,681,5.139341115951538
32,256,387,425,682,5.139341115951538
32,1412,257,1667,615,5.139341115951538
32,742,183,990,615,5.139341115951538
33,847,123,1741,1068,5.2159264087677
33,84,314,883,1069,5.2159264087677
33,0,384,135,682,5.2159264087677
33,256,387,425,683,5.2159264087677
33,1411,257,1663,615,5.2159264087677
33,742,183,990,615,5.2159264087677
34,848,123,1740,1068,5.293441295623779
34,81,314,882,1069,5.293441295623779
34,0,384,135,682,5.293441295623779
34,255,387,425,683,5.293441295623779
34,1411,256,1662,615,5.293441295623779
34,740,184,984,615,5.293441295623779
35,850,121,1739,1068,5.371459245681763
35,81,312,882,1069,5.371459245681763
35,0,383,135,680,5.371459245681763
35,255,386,425,681,5.371459245681763
35,1412,255,1659,613,5.371459245681763
35,741,181,992,613,5.371459245681763
36,851,120,1738,1068,5.448477268218994
36,81,312,883,1069,5.448477268218994
36,0,383,135,680,5.448477268218994
36,255,386,426,681,5.448477268218994
36,1413,255,1657,613,5.448976993560791
36,740,182,991,613,5.448976993560791
37,852,121,1738,1068,5.525994777679443
37,81,315,883,1069,5.525994777679443
37,0,384,135,682,5.525994777679443
37,257,387,431,682,5.525994777679443
37,1415,256,1660,614,5.525994777679443
37,741,183,991,614,5.525994777679443
38,853,122,1737,1068,5.604204416275024
38,81,316,884,1070,5.6047043800354
38,0,384,135,682,5.6047043800354
38,257,387,435,682,5.6047043800354
38,1416,256,1651,614,5.6047043800354
38,738,184,988,614,5.6047043800354
39,855,120,1736,1068,5.681019306182861
39,82,315,887,1070,5.681019306182861
39,0,384,135,681,5.681019306182861
39,257,386,438,682,5.681019306182861
39,1419,255,1645,612,5.681019306182861
39,737,183,994,613,5.681019306182861
40,855,120,1736,1068,5.75867223739624
40,82,315,887,1070,5.75867223739624
40,0,384,135,681,5.75867223739624
40,257,386,438,682,5.75867223739624
40,1419,255,1646,612,5.75867223739624
40,738,182,994,613,5.75867223739624
41,92,317,888,1069,5.83818507194519
41,858,119,1732,1068,5.83818507194519
41,0,385,134,682,5.83818507194519
41,257,388,452,683,5.83818507194519
41,1423,255,1628,613,5.83818507194519
41,724,183,993,614,5.83818507194519
42,93,315,886,1069,5.913709402084351
42,860,119,1728,1069,5.913709402084351
42,0,385,133,682,5.913709402084351
42,256,387,454,683,5.913709402084351
42,1424,255,1651,613,5.913709402084351
42,735,183,989,614,5.913709402084351
43,92,315,887,1069,5.990671396255493
43,862,118,1724,1068,5.990671396255493
43,0,385,133,682,5.990671396255493
43,255,387,457,683,5.990671396255493
43,1427,255,1645,612,5.990671396255493
43,740,183,991,614,5.990671396255493
43,1054,249,1207,613,5.990671396255493
44,91,315,887,1069,6.068228483200073
44,865,119,1719,1067,6.068729639053345
44,0,385,133,683,6.068729639053345
44,255,388,464,684,6.068729639053345
44,1427,255,1636,612,6.068729639053345
44,742,183,991,614,6.068729639053345
44,1053,249,1206,615,6.068729639053345
45,92,313,885,1069,6.146089792251587
45,867,118,1714,1068,6.146089792251587
45,0,384,132,682,6.146089792251587
45,255,386,465,683,6.146089792251587
45,1428,255,1653,612,6.146089792251587
45,745,182,993,614,6.146089792251587
45,1053,249,1206,613,6.146089792251587
46,94,311,882,1069,6.221916198730469
46,870,117,1708,1068,6.221916198730469
46,0,384,132,682,6.221916198730469
46,255,386,463,682,6.221916198730469
46,1428,255,1667,611,6.221916198730469
46,742,182,993,613,6.221916198730469
46,1053,249,1205,612,6.221916198730469
47,868,116,1699,1068,6.2989115715026855
47,96,311,879,1069,6.2989115715026855
47,0,386,132,683,6.2994115352630615
47,1427,256,1670,613,6.2994115352630615
47,254,388,459,683,6.2994115352630615
47,1053,250,1202,613,6.2994115352630615
47,739,183,991,615,6.2994115352630615
48,863,113,1690,1067,6.395002365112305
48,99,309,872,1069,6.395002365112305
48,0,385,132,682,6.395002365112305
48,1425,256,1661,613,6.395002365112305
48,253,387,451,683,6.395002365112305
48,1052,249,1199,612,6.395002365112305
48,740,183,992,614,6.395002365112305
49,866,111,1678,1067,6.469514608383179
49,97,307,869,1069,6.469514608383179
49,0,385,131,682,6.469514608383179
49,253,387,446,682,6.469514608383179
49,1422,255,1659,612,6.469514608383179
49,746,183,982,614,6.469514608383179
49,1052,249,1195,607,6.469514608383179
50,864,110,1665,1068,6.547523260116577
50,98,307,862,1068,6.547523260116577
50,0,386,131,683,6.547523260116577
50,253,388,442,683,6.547523260116577
50,1420,256,1647,613,6.547523260116577
50,742,183,984,614,6.547523260116577
50,1052,252,1190,606,6.547523260116577
51,863,111,1649,1068,6.623214483261108
51,98,306,860,1068,6.623214483261108
51,252,388,440,683,6.623214483261108
51,0,385,131,683,6.623214483261108
51,1420,256,1645,613,6.623214483261108
51,748,184,982,614,6.623214483261108
52,861,111,1631,1069,6.7000322341918945
52,102,309,862,1068,6.7000322341918945
52,251,388,434,683,6.7000322341918945
52,0,386,130,683,6.7000322341918945
52,1420,256,1639,613,6.7000322341918945
52,744,184,974,614,6.7000322341918945
53,857,105,1611,1068,6.777068853378296
53,114,310,862,1069,6.777068853378296
53,251,388,431,682,6.777068853378296
53,0,386,130,683,6.777568578720093
53,1418,255,1643,612,6.777568578720093
53,747,183,973,614,6.777568578720093
54,856,105,1587,1068,6.855402946472168
54,119,313,861,1069,6.855402946472168
54,0,386,130,683,6.855402946472168
54,251,387,427,684,6.855402946472168
54,1418,255,1655,613,6.855402946472168
54,748,183,974,615,6.855402946472168
55,129,312,860,1069,6.932425498962402
55,855,105,1563,1069,6.932425498962402
55,251,388,425,682,6.932425498962402
55,0,386,130,683,6.932425498962402
55,1420,255,1658,612,6.932425498962402
55,745,183,960,614,6.932425498962402
56,859,103,1540,1068,7.010441541671753
56,141,313,858,1069,7.010441541671753
56,252,388,423,682,7.010441541671753
56,0,385,130,683,7.010441541671753
56,1420,254,1652,611,7.010441541671753
56,751,182,966,615,7.010441541671753
57,862,105,1519,1067,7.088552236557007
57,142,314,857,1068,7.088552236557007
57,252,389,415,683,7.088552236557007
57,0,386,130,683,7.088552236557007
57,1420,255,1655,611,7.088552236557007
57,747,183,959,615,7.088552236557007
58,866,105,1497,1067,7.165065288543701
58,142,313,851,1069,7.165065288543701
58,251,388,409,683,7.165065288543701
58,0,386,130,683,7.165065288543701
58,1420,254,1656,611,7.165065288543701
58,742,183,992,616,7.165065288543701
59,863,105,1480,1067,7.242554426193237
59,143,313,845,1069,7.242554426193237
59,251,386,404,683,7.242554426193237
59,0,385,130,683,7.242554426193237
59,1419,253,1653,611,7.242554426193237
59,742,182,988,614,7.242554426193237
60,144,314,836,1068,7.321213245391846
60,861,106,1473,1067,7.321213245391846
60,251,388,395,684,7.321213245391846
60,0,387,130,684,7.321213245391846
60,1418,253,1649,611,7.321213245391846
60,748,183,981,615,7.321213245391846
61,142,315,825,1069,7.3967344760894775
61,860,106,1469,1066,7.3967344760894775
61,0,387,130,684,7.3967344760894775
61,252,388,389,684,7.3967344760894775
61,1413,253,1655,612,7.3967344760894775
61,744,183,981,616,7.3967344760894775
62,142,315,811,1068,7.4742591381073
62,859,106,1463,1066,7.4742591381073
62,0,387,130,684,7.4742591381073
62,1410,252,1650,612,7.4742591381073
62,741,183,992,615,7.4742591381073
62,251,389,383,684,7.4742591381073
63,136,315,797,1068,7.550246238708496
63,858,108,1459,1067,7.550246238708496
63,0,387,130,685,7.550246238708496
63,1407,252,1658,611,7.550246238708496
63,738,182,990,614,7.550246238708496
64,859,109,1453,1067,7.6290059089660645
64,128,316,782,1068,7.6290059089660645
64,0,388,130,684,7.6290059089660645
64,1403,252,1654,611,7.6290059089660645
64,713,182,988,614,7.6290059089660645
65,862,113,1446,1067,7.706044435501099
65,118,320,758,1067,7.706044435501099
65,0,388,129,684,7.706044435501099
65,1398,251,1648,611,7.706044435501099
65,733,182,988,613,7.706044435501099
66,868,115,1441,1067,7.782658338546753
66,108,317,751,1068,7.782658338546753
66,0,387,129,684,7.782658338546753
66,1398,251,1646,611,7.782658338546753
66,729,180,980,612,7.782658338546753
67,878,115,1435,1067,7.860739707946777
67,94,317,765,1068,7.860739707946777
67,0,387,129,684,7.860739707946777
67,1396,250,1654,610,7.860739707946777
67,734,180,984,612,7.860739707946777
68,887,119,1432,1068,7.938827037811279
