frame nummer,x=,y=,time=,cpu=,mem=
1,250,845,0.17890286445617676,,
1,542,845,0.17890286445617676,,
1,793,821,0.17890286445617676,,
1,542,845,0.17890286445617676,,
1,1293,399,0.17940378189086914,,
1,542,845,0.17940378189086914,,
1,1252,352,0.17940378189086914,,
1,1293,399,0.17940378189086914,,
1,1168,399,0.17940378189086914,,
1,1252,352,0.17940378189086914,,
1,584,516,0.17940378189086914,,
1,1293,399,0.17940378189086914,,
1,1419,399,0.17940378189086914,,
1,584,516,0.17940378189086914,,
2,250,845,0.33793091773986816,,
2,1293,727,0.33793091773986816,,
2,793,821,0.33793091773986816,,
2,1293,727,0.33793091773986816,,
2,1293,399,0.33793091773986816,,
2,1293,727,0.33793091773986816,,
2,1252,352,0.33793091773986816,,
2,1293,399,0.33793091773986816,,
2,1168,399,0.33793091773986816,,
2,1252,352,0.33793091773986816,,
2,1377,352,0.33793091773986816,,
2,1293,399,0.33793091773986816,,
2,1419,399,0.33793091773986816,,
2,1377,352,0.33793091773986816,,
3,1001,727,0.511070966720581,,
3,1293,727,0.511070966720581,,
3,793,821,0.511070966720581,,
3,1293,727,0.511070966720581,,
3,1293,399,0.511070966720581,,
3,1293,727,0.511070966720581,,
3,1252,352,0.5115697383880615,,
3,1293,399,0.5115697383880615,,
3,1168,399,0.5115697383880615,,
3,1252,352,0.5115697383880615,,
3,1377,352,0.5115697383880615,,
3,1293,399,0.5115697383880615,,
3,1419,399,0.5115697383880615,,
3,1377,352,0.5115697383880615,,
4,1001,727,0.6380913257598877,,
4,1293,727,0.6380913257598877,,
4,793,821,0.6380913257598877,,
4,1293,727,0.6380913257598877,,
4,1293,399,0.6380913257598877,,
4,1293,727,0.6380913257598877,,
4,1252,352,0.6380913257598877,,
4,1293,399,0.6380913257598877,,
4,1168,399,0.6380913257598877,,
4,1252,352,0.6380913257598877,,
4,1377,352,0.6380913257598877,,
4,1293,399,0.6380913257598877,,
4,1419,399,0.6380913257598877,,
4,1377,352,0.6380913257598877,,
5,250,845,0.7631137371063232,,
5,1293,727,0.7631137371063232,,
5,793,821,0.7636139392852783,,
5,1293,727,0.7636139392852783,,
5,1293,399,0.7636139392852783,,
5,1293,727,0.7636139392852783,,
5,1252,352,0.7636139392852783,,
5,1293,399,0.7636139392852783,,
5,1168,399,0.7636139392852783,,
5,1252,352,0.7636139392852783,,
5,584,516,0.7636139392852783,,
